starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	0	13	14	13
Tue Jun 19 18:21:56 2018	1529403716	1	14	15	14
Tue Jun 19 18:21:56 2018	1529403716	4	13	16	13
Tue Jun 19 18:21:56 2018	1529403716	1	16	17	16
Tue Jun 19 18:21:56 2018	1529403716	2	16	18	16
Tue Jun 19 18:21:57 2018	1529403717	0	18	18	15
Tue Jun 19 18:21:56 2018	1529403716	0	18	19	17
Tue Jun 19 18:21:57 2018	1529403717	0	18	19	15
Tue Jun 19 18:21:56 2018	1529403716	1	18	19	18
Tue Jun 19 18:21:57 2018	1529403717	0	19	19	17
Tue Jun 19 18:21:56 2018	1529403716	1	18	19	18
Tue Jun 19 18:21:56 2018	1529403716	1	18	20	18
Tue Jun 19 18:21:56 2018	1529403716	1	20	21	20
Tue Jun 19 18:21:56 2018	1529403716	1	20	21	19
Tue Jun 19 18:21:56 2018	1529403716	1	20	21	19
Tue Jun 19 18:21:56 2018	1529403716	1	20	21	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	21	19
Tue Jun 19 18:21:56 2018	1529403716	1	20	22	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	22	20
Tue Jun 19 18:21:57 2018	1529403717	0	21	22	15
Tue Jun 19 18:21:56 2018	1529403716	1	21	22	20
Tue Jun 19 18:21:56 2018	1529403716	0	22	22	19
Tue Jun 19 18:21:56 2018	1529403716	1	21	22	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	22	21
Tue Jun 19 18:21:56 2018	1529403716	1	21	22	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	23	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	23	20
Tue Jun 19 18:21:56 2018	1529403716	1	21	23	21
Tue Jun 19 18:21:56 2018	1529403716	2	21	23	20
Tue Jun 19 18:21:56 2018	1529403716	2	21	23	21
Tue Jun 19 18:21:56 2018	1529403716	1	22	23	21
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	23
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	23
Tue Jun 19 18:21:56 2018	1529403716	1	22	23	21
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	19
Tue Jun 19 18:21:56 2018	1529403716	1	22	23	22
Tue Jun 19 18:21:57 2018	1529403717	0	23	23	19
Tue Jun 19 18:21:56 2018	1529403716	1	22	23	21
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	23
Tue Jun 19 18:21:57 2018	1529403717	2	22	23	21
Tue Jun 19 18:21:57 2018	1529403717	1	23	23	16
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	23
Tue Jun 19 18:21:56 2018	1529403716	0	23	23	23
Tue Jun 19 18:21:56 2018	1529403716	0	23	24	21
Tue Jun 19 18:21:57 2018	1529403717	1	23	24	21
Tue Jun 19 18:21:56 2018	1529403716	1	23	24	23
Tue Jun 19 18:21:56 2018	1529403716	1	23	24	23
Tue Jun 19 18:21:56 2018	1529403716	1	24	24	20
Tue Jun 19 18:21:56 2018	1529403716	0	24	24	24
Tue Jun 19 18:21:56 2018	1529403716	0	24	24	24
