starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	2	1	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	1	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	1	4	0
Tue Jun 19 18:00:38 2018	1529402438	3	1	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	4	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	5	0
Tue Jun 19 18:00:38 2018	1529402438	2	3	5	0
Tue Jun 19 18:00:38 2018	1529402438	2	2	5	0
Tue Jun 19 18:00:38 2018	1529402438	2	3	5	0
Tue Jun 19 18:00:38 2018	1529402438	2	3	5	0
Tue Jun 19 18:00:38 2018	1529402438	0	8	8	7
Tue Jun 19 18:00:39 2018	1529402439	1	7	8	7
Tue Jun 19 18:00:39 2018	1529402439	0	8	8	7
Tue Jun 19 18:00:38 2018	1529402438	0	8	8	8
Tue Jun 19 18:00:38 2018	1529402438	0	10	11	5
Tue Jun 19 18:00:39 2018	1529402439	0	11	11	9
Tue Jun 19 18:00:38 2018	1529402438	0	11	12	11
Tue Jun 19 18:00:38 2018	1529402438	0	12	12	10
Tue Jun 19 18:00:38 2018	1529402438	0	12	12	11
Tue Jun 19 18:00:38 2018	1529402438	0	12	12	12
Tue Jun 19 18:00:38 2018	1529402438	0	13	13	12
Tue Jun 19 18:00:38 2018	1529402438	0	13	13	12
Tue Jun 19 18:00:38 2018	1529402438	0	13	13	12
Tue Jun 19 18:00:39 2018	1529402439	0	13	13	12
Tue Jun 19 18:00:38 2018	1529402438	0	13	13	12
Tue Jun 19 18:00:38 2018	1529402438	0	13	13	11
Tue Jun 19 18:00:38 2018	1529402438	0	13	14	13
Tue Jun 19 18:00:38 2018	1529402438	1	13	14	13
Tue Jun 19 18:00:38 2018	1529402438	5	9	14	6
Tue Jun 19 18:00:38 2018	1529402438	0	14	14	8
Tue Jun 19 18:00:38 2018	1529402438	0	14	14	14
Tue Jun 19 18:00:39 2018	1529402439	0	14	14	14
Tue Jun 19 18:00:38 2018	1529402438	0	14	14	9
Tue Jun 19 18:00:38 2018	1529402438	0	14	14	14
Tue Jun 19 18:00:38 2018	1529402438	0	14	14	14
Tue Jun 19 18:00:39 2018	1529402439	1	14	14	13
Tue Jun 19 18:00:38 2018	1529402438	0	14	15	13
Tue Jun 19 18:00:38 2018	1529402438	5	10	15	9
Tue Jun 19 18:00:38 2018	1529402438	0	14	15	13
Tue Jun 19 18:00:39 2018	1529402439	1	14	15	14
Tue Jun 19 18:00:39 2018	1529402439	0	15	15	14
Tue Jun 19 18:00:39 2018	1529402439	1	14	15	14
Tue Jun 19 18:00:39 2018	1529402439	1	15	15	14
Tue Jun 19 18:00:38 2018	1529402438	0	15	15	13
Tue Jun 19 18:00:39 2018	1529402439	0	15	15	14
Tue Jun 19 18:00:38 2018	1529402438	0	15	15	13
Tue Jun 19 18:00:38 2018	1529402438	0	15	15	13
Tue Jun 19 18:00:38 2018	1529402438	1	14	15	14
Tue Jun 19 18:00:38 2018	1529402438	0	15	15	13
Tue Jun 19 18:00:38 2018	1529402438	0	15	15	14
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	13
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	15
Tue Jun 19 18:00:38 2018	1529402438	0	15	16	15
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	15
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	14
Tue Jun 19 18:00:39 2018	1529402439	0	16	16	16
Tue Jun 19 18:00:38 2018	1529402438	5	11	16	9
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	15
Tue Jun 19 18:00:38 2018	1529402438	0	16	16	16
Tue Jun 19 18:00:38 2018	1529402438	6	11	17	10
Tue Jun 19 18:00:38 2018	1529402438	0	17	17	16
Tue Jun 19 18:00:39 2018	1529402439	1	16	17	14
Tue Jun 19 18:00:39 2018	1529402439	0	17	17	15
Tue Jun 19 18:00:38 2018	1529402438	0	17	17	17
Tue Jun 19 18:00:38 2018	1529402438	5	12	17	11
Tue Jun 19 18:00:38 2018	1529402438	1	17	17	17
Tue Jun 19 18:00:38 2018	1529402438	0	17	17	16
Tue Jun 19 18:00:38 2018	1529402438	0	17	17	17
Tue Jun 19 18:00:38 2018	1529402438	0	17	18	17
Tue Jun 19 18:00:38 2018	1529402438	3	15	18	12
Tue Jun 19 18:00:38 2018	1529402438	0	17	18	16
Tue Jun 19 18:00:38 2018	1529402438	1	17	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	17	18	17
Tue Jun 19 18:00:38 2018	1529402438	1	17	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	1	17	18	17
Tue Jun 19 18:00:39 2018	1529402439	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	18
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	3	15	18	14
Tue Jun 19 18:00:39 2018	1529402439	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:39 2018	1529402439	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	18	17
Tue Jun 19 18:00:39 2018	1529402439	0	18	18	17
Tue Jun 19 18:00:38 2018	1529402438	0	18	19	16
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	17
Tue Jun 19 18:00:38 2018	1529402438	5	14	19	13
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	17
Tue Jun 19 18:00:39 2018	1529402439	0	19	19	19
Tue Jun 19 18:00:39 2018	1529402439	0	18	19	18
Tue Jun 19 18:00:39 2018	1529402439	0	19	19	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	16
Tue Jun 19 18:00:39 2018	1529402439	1	18	19	16
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	18
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	1	19	19	16
Tue Jun 19 18:00:38 2018	1529402438	6	14	19	13
Tue Jun 19 18:00:38 2018	1529402438	1	19	19	16
Tue Jun 19 18:00:39 2018	1529402439	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	17
Tue Jun 19 18:00:38 2018	1529402438	1	18	19	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	19	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	19	17
Tue Jun 19 18:00:38 2018	1529402438	1	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	1	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	16	20	16
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	16
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	18
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	19	20	17
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	18
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	18
Tue Jun 19 18:00:39 2018	1529402439	1	19	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	12
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	19
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	0	20	20	18
Tue Jun 19 18:00:39 2018	1529402439	0	20	20	19
Tue Jun 19 18:00:38 2018	1529402438	3	17	20	17
Tue Jun 19 18:00:38 2018	1529402438	0	21	21	20
Tue Jun 19 18:00:38 2018	1529402438	3	17	21	17
